x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
10,2;-0,699307921;-0,714820559;1,022182844;-1,429985233;-1,398952488;4,600191886;2,322369655;3,350471701;1,008598852;75,27739736;75,27739736
10,3;-0,76686089;-0,64181335;0,836935823;-1,304017473;-1,558085385;3,786257592;2,332130991;3,364554334;1,012838174;76,02916707;76,02916707
10,4;-0,827901507;-0,56087351;0,677464052;-1,207873148;-1,782933197;3,128464739;2,341791606;3,378491657;1,017033753;76,77558156;76,77558156
10,5;-0,879808338;-0,475328611;0,540263818;-1,136611188;-2,103807716;2,598349917;2,351359658;3,39229544;1,021189132;77,51715686;77,51715686
10,6;-0,922942702;-0,384937356;0,417076114;-1,083490879;-2,597825293;2,156281482;2,360836895;3,405968205;1,02530507;78,25392042;78,25392042
10,7;-0,95688131;-0,290479188;0,303568672;-1,045061691;-3,442587423;1,783669441;2,370225013;3,419512399;1,029382304;78,98590011;78,98590011
10,8;-0,981295691;-0,192506535;0,196175869;-1,019060828;-5,194628837;1,467895477;2,379532552;3,432940341;1,033424543;79,71366346;79,71366346
10,9;-0,995956499;-0,089836805;0,090201535;-1,004059917;-11,13129519;1,196610039;2,388747915;3,446235302;1,037426751;80,4362071;80,4362071
11;-1,000737134;0,038403263;-0,038374976;-0,999263409;26,03945367;0,92325222;2,39787901;3,45940869;1,041392361;81,15405542;81,15405542
11,1;-0,994479511;0,104930944;-0,105513429;-1,005551134;9,530077262;0,811116728;2,406927356;3,472462695;1,045322032;81,86723756;81,86723756
11,2;-0,979069991;0,203523837;-0,207874655;-1,021377439;4,913429381;0,668884514;2,415894428;3,485399447;1,049216408;82,57578286;82,57578286
11,3;-0,953861663;0,300246445;-0,314769381;-1,048370051;3,330597298;0,559688929;2,424788496;3,498230878;1,053079077;83,2802626;83,2802626
11,4;-0,919099768;0,394024892;-0,428707422;-1,088021164;2,537910726;0,481630826;2,433597841;3,510940078;1,056904952;83,97966748;83,97966748
11,5;-0,87512252;0,48390141;-0,552952756;-1,142697139;2,066536654;0,434011813;2,442330145;3,523538132;1,060697368;84,67452728;84,67452728
